original,cpp filter
0.00913302,0.0872139
0.007564,0.0722309
0.00626454,0.0598219
0.00518832,0.0495448
0.00429699,0.0410332
0.00355878,0.0339839
0.0029474,0.0281456
0.00244105,0.0233103
0.00202169,0.0193057
0.00167437,0.015989
0.00138672,0.0132422
0.00114849,0.0109672
0.000951181,0.00908311
0.000787772,0.00752267
0.000652436,0.00623031
0.000540351,0.00515997
0.000447521,0.00427351
0.000370638,0.00353934
0.000169886,0.0016223
0.000117151,0.00111871
7.34757e-05,0.000701642
3.73035e-05,0.000356222
0.000144423,0.00137914
0.000119612,0.00114221
9.90632e-05,0.000945984
8.20445e-05,0.000783468
6.79496e-05,0.000648871
5.62762e-05,0.000537398
4.66082e-05,0.000445075
3.86011e-05,0.000368613
3.19696e-05,0.000305287
2.64773e-05,0.00025284
2.19286e-05,0.000209403
1.81614e-05,0.000173428
1.50413e-05,0.000143634
1.24573e-05,0.000118958
1.03172e-05,9.85219e-05
8.54474e-06,8.15962e-05
7.07679e-06,6.75783e-05
5.86102e-06,5.59686e-05
4.85412e-06,4.63535e-05
4.02021e-06,3.83901e-05
3.32955e-06,3.17949e-05
2.75755e-06,2.63326e-05
2.28381e-06,2.18088e-05
1.89146e-06,1.80621e-05
1.56652e-06,1.49591e-05
1.2974e-06,1.23892e-05
1.07451e-06,1.02608e-05
8.89913e-07,8.49804e-06
7.37029e-07,7.03811e-06
6.10411e-07,5.829e-06
5.05545e-07,4.8276e-06
4.18694e-07,3.99824e-06
3.46764e-07,3.31136e-06
2.87192e-07,2.74248e-06
2.37853e-07,2.27133e-06
1.96991e-07,1.88113e-06
1.63149e-07,1.55796e-06
1.35121e-07,1.29031e-06
1.11907e-07,1.06864e-06
9.26822e-08,8.8505e-07
7.67598e-08,7.33002e-07
6.35728e-08,6.07076e-07
5.26513e-08,5.02783e-07
4.3606e-08,4.16407e-07
3.61147e-08,3.4487e-07
2.99103e-08,2.85623e-07
2.47719e-08,2.36554e-07
2.05162e-08,1.95915e-07
1.69916e-08,1.62257e-07
1.40725e-08,1.34382e-07
1.16549e-08,1.11296e-07
9.65263e-09,9.21758e-08
7.99435e-09,7.63404e-08
6.62095e-09,6.32254e-08
5.4835e-09,5.23636e-08
4.54146e-09,4.33677e-08
3.76125e-09,3.59173e-08
3.11509e-09,2.97469e-08
