Hip desired,Hip actual,Knee desired,Knee actual,Ankle desired,Ankle actual,deformation of ankle
-3.42509,-0.920388,-2.73786,-0.460194,0.0381951,0,-0.0076699
-3.42396,-0.920388,-2.73786,-0.460194,0.0403042,0,-0.0076699
-3.42303,-0.920388,-2.73786,-0.460194,0.042051,0,-0.0076699
-3.44047,-0.920388,-2.73786,-0.460194,0.00930749,0,-0.00920388
-3.4367,-0.920388,-2.73786,-0.460194,0.0163794,0,-0.00920388
-3.43358,-0.920388,-2.73786,-0.460194,0.0222363,0,-0.00920388
-3.431,-0.920388,-2.73786,-0.460194,0.0270871,0,-0.00920388
-3.42886,-0.920388,-2.73786,-0.460194,0.0311045,0,-0.00920388
-3.42709,-0.920388,-2.73786,-0.460194,0.0344317,0,-0.00920388
-3.42562,-0.920388,-2.73786,-0.460194,0.0371874,0,-0.00920388
-3.42441,-0.920388,-2.73786,-0.460194,0.0394696,0,-0.00920388
-3.4234,-0.920388,-2.73786,-0.460194,0.0413598,0,-0.00920388
-3.42257,-0.920388,-2.73786,-0.460194,0.0429252,0,-0.00920388
-3.42188,-0.920388,-2.73786,-0.460194,0.0442217,0,-0.00920388
-3.42131,-0.920388,-2.73786,-0.460194,0.0452955,0,-0.00920388
-3.42083,-0.920388,-2.73786,-0.460194,0.0461847,0,-0.00920388
-3.42044,-0.920388,-2.73786,-0.460194,0.0469213,0,-0.00920388
-3.42011,-0.920388,-2.73786,-0.460194,0.0475313,0,-0.00920388
-3.43805,-0.920388,-2.73786,-0.460194,0.0138463,0,-0.0107379
-3.4347,-0.920388,-2.73786,-0.460194,0.0201384,0,-0.0107379
-3.43192,-0.920388,-2.73786,-0.460194,0.0253496,0,-0.0107379
-3.42963,-0.920388,-2.73786,-0.460194,0.0296655,0,-0.0107379
-3.42772,-0.920388,-2.73786,-0.460194,0.03324,0,-0.0107379
-3.42615,-0.920388,-2.73786,-0.460194,0.0362003,0,-0.0107379
-3.42484,-0.920388,-2.73786,-0.460194,0.0386521,0,-0.0107379
-3.42376,-0.920388,-2.73786,-0.460194,0.0406827,0,-0.0107379
-3.42287,-0.920388,-2.73786,-0.460194,0.0423645,0,-0.0107379
-3.42212,-0.920388,-2.73786,-0.460194,0.0437573,0,-0.0107379
-3.42151,-0.920388,-2.73786,-0.460194,0.0449108,0,-0.0107379
-3.421,-0.920388,-2.73786,-0.460194,0.0458662,0,-0.0107379
-3.42058,-0.920388,-2.73786,-0.460194,0.0466575,0,-0.0107379
-3.42023,-0.920388,-2.73786,-0.460194,0.0473128,0,-0.0107379
-3.43815,-0.920388,-2.73786,-0.460194,0.0136653,0,-0.0122718
-3.43478,-0.920388,-2.73786,-0.460194,0.0199885,0,-0.0122718
-3.43199,-0.920388,-2.73786,-0.460194,0.0252255,0,-0.0122718
-3.42968,-0.920388,-2.73786,-0.460194,0.0295627,0,-0.0122718
-3.42777,-0.920388,-2.73786,-0.460194,0.0331548,0,-0.0122718
-3.42619,-0.920388,-2.73786,-0.460194,0.0361298,0,-0.0122718
-3.42487,-0.920388,-2.73786,-0.460194,0.0385937,0,-0.0122718
