ref-hip,ref-knee,ref-ankle,link-hip,link-knee,link-ankle,motor-hip,motor-knee,motor-ankle,tau-m1,tau-m2,tau-m3,tau-dyn-1,tau-dyn-2,tau-dyn-3
-0.0958414,-0.173095,0.177957,-0.0631808,-0.15383,0.168786,-0.0754527,-0.161499,0.17032,0.0858,-0.0939,-0.0828,-0.0836943,-0.0926962,0.0839814,0.431
-0.096024,-0.173378,0.178281,-0.0617427,-0.154069,0.169169,-0.0755486,-0.161739,0.170703,0.075,-0.0978,-0.078,0.0212342,-0.0868529,0.0854169,0.431333
-0.0962047,-0.173663,0.178603,-0.0618386,-0.154309,0.169505,-0.0756444,-0.161979,0.171039,0.0798,-0.0798,-0.0759,-0.0712833,-0.0878675,0.0893669,0.431667
-0.0963835,-0.173949,0.178922,-0.0619824,-0.154549,0.169888,-0.0757882,-0.162218,0.171422,0.0798,-0.0858,-0.084,-0.068436,-0.090012,0.0872351,0.432
-0.0965603,-0.174237,0.17924,-0.0620783,-0.154836,0.170224,-0.0758841,-0.162506,0.171758,0.087,-0.087,-0.0138,-0.0717546,-0.0854388,0.0887283,0.432333
-0.0967352,-0.174527,0.179555,-0.0622221,-0.155076,0.170607,-0.0760279,-0.162746,0.172141,0.084,-0.0849,-0.0399,-0.0698351,-0.0922723,0.0866366,0.432667
-0.0969082,-0.174818,0.179868,-0.062318,-0.155411,0.170943,-0.0761238,-0.163081,0.172477,0.0798,-0.093,-0.0798,-0.075171,-0.0828966,0.084251,0.433
-0.0970793,-0.175112,0.180179,-0.0624138,-0.155651,0.171326,-0.0762197,-0.163321,0.17286,0.0858,-0.0888,-0.0669,-0.0773832,-0.0944191,0.0815596,0.433333
-0.0972485,-0.175407,0.180488,-0.0625097,-0.155939,0.171614,-0.0763155,-0.163609,0.173148,0.0909,-0.0948,-0.0699,-0.07784,-0.0905952,0.0775143,0.433667
-0.0974158,-0.175703,0.180795,-0.0625577,-0.156274,0.172046,-0.0763635,-0.163944,0.17358,0.0849,-0.0849,-0.0738,-0.0820065,-0.0859386,0.0727863,0.434
-0.0975812,-0.176002,0.181099,-0.0626535,-0.156562,0.172381,-0.0764594,-0.164232,0.173915,0.081,-0.087,-0.075,-0.0785273,-0.0917461,0.0731741,0.434333
-0.0977447,-0.176302,0.181402,-0.0627015,-0.15685,0.172765,-0.0765073,-0.164519,0.174299,0.081,-0.0909,-0.0759,-0.0819905,-0.0934264,0.0752017,0.434667
-0.0979063,-0.176604,0.181702,-0.0627494,-0.157089,0.173052,-0.0765552,-0.164759,0.174586,0.075,-0.0849,-0.0819,-0.0815349,-0.0985861,0.0732641,0.435
-0.098066,-0.176907,0.182,-0.0627973,-0.157233,0.173292,-0.0766032,-0.164903,0.174826,0.0678,-0.0858,-0.0789,-0.0823197,-0.110601,0.0762045,0.435333
-0.0982239,-0.177212,0.182296,-0.0628453,-0.157473,0.173532,-0.0766511,-0.165143,0.175066,0.0648,-0.0948,-0.078,-0.0830885,-0.103663,0.0766066,0.435667
-0.0983799,-0.177519,0.18259,-0.0628932,-0.157664,0.173771,-0.076699,-0.165334,0.175305,0.072,-0.099,-0.0798,-0.0833597,-0.109618,0.0815657,0.436
-0.098534,-0.177828,0.182882,-0.0629411,-0.157856,0.174011,-0.076747,-0.165526,0.175545,0.075,-0.0999,-0.084,-0.084034,-0.112074,0.0817885,0.436333
-0.0986863,-0.178138,0.183171,-0.0614551,-0.158048,0.174251,-0.0767949,-0.165718,0.175785,0.0738,-0.108,-0.0798,-0.0652573,-0.11456,0.082119,0.436667
-0.0988367,-0.17845,0.183459,-0.061503,-0.15824,0.174538,-0.0768428,-0.16591,0.176072,0.075,-0.102,-0.0849,-0.0674744,-0.230779,-0.0483843,0.437
-0.0989854,-0.178763,0.183744,-0.061551,-0.158479,0.174778,-0.0768908,-0.166149,0.176312,0.078,-0.105,-0.0828,-0.0686534,-0.11165,0.023216,0.437333
-0.0991322,-0.179079,0.184027,-0.0615989,-0.158671,0.175018,-0.0769387,-0.166341,0.176552,0.081,-0.1128,-0.075,-0.0697116,-0.117384,0.0356303,0.437667
-0.0992771,-0.179396,0.184308,-0.0616469,-0.158911,0.175209,-0.0769867,-0.166581,0.176743,0.0498,-0.1749,-0.0639,-0.0711491,-0.113481,0.0441375,0.438
-0.0994203,-0.179714,0.184587,-0.0616948,-0.159103,0.175497,-0.0770346,-0.166772,0.177031,-0.003,-0.177,-0.069,-0.0715987,-0.117984,0.056402,0.438333
-0.0995617,-0.180035,0.184864,-0.0617427,-0.15939,0.175641,-0.0770825,-0.16706,0.177175,0.018,-0.0888,-0.0708,-0.0728742,-0.105637,0.0700439,0.438667
-0.0997013,-0.180357,0.185138,-0.0617907,-0.15963,0.175928,-0.0771305,-0.1673,0.177462,0.0459,-0.1128,-0.0708,-0.0741481,-0.10743,0.087086,0.439
-0.0998392,-0.18068,0.185411,-0.0618865,-0.159965,0.17612,-0.0772263,-0.167635,0.177654,0.0489,-0.1209,-0.0729,-0.0716399,-0.0959874,0.0983398,0.439333
-0.0999752,-0.181006,0.185681,-0.0619345,-0.160301,0.176264,-0.0772743,-0.167971,0.177798,0.0648,-0.1098,-0.0708,-0.0757488,-0.0977513,0.106456,0.439667
-0.10011,-0.181332,0.18595,-0.0619824,-0.159055,0.176408,-0.0773222,-0.168259,0.177942,0.081,-0.1059,-0.0738,-0.160257,-0.0730382,0.112121,0.44
-0.100242,-0.181661,0.186216,-0.0620303,-0.15939,0.176552,-0.0773702,-0.168594,0.178086,0.0909,-0.099,-0.0738,-0.0737905,-0.0717077,-0.0120556,0.440333
-0.100373,-0.181991,0.18648,-0.0620783,-0.159726,0.176695,-0.0774181,-0.16893,0.178229,0.1038,-0.093,-0.0798,-0.075086,-0.0730343,0.0565153,0.440667
-0.100502,-0.182323,0.186742,-0.0621742,-0.160109,0.176839,-0.077514,-0.169313,0.178373,0.108,-0.0849,-0.1209,-0.0729418,-0.0695026,0.0626821,0.441
-0.10063,-0.182657,0.187001,-0.0622221,-0.160445,0.176935,-0.0775619,-0.169649,0.178469,0.0429,-0.0708,-0.1299,-0.0763881,-0.0748429,0.0681326,0.441333
-0.100755,-0.182992,0.187259,-0.06227,-0.16078,0.177079,-0.0776098,-0.169984,0.178613,0.012,-0.0768,-0.0639,-0.076319,-0.0788654,0.0754446,0.441667
-0.100879,-0.183329,0.187515,-0.062318,-0.161068,0.177175,-0.0776578,-0.170272,0.178709,0.0519,-0.0798,-0.0708,-0.0770071,-0.0849381,0.0860939,0.442
-0.101002,-0.183667,0.187768,-0.0623659,-0.161404,0.177319,-0.0777057,-0.170607,0.178853,0.0729,-0.0708,-0.075,-0.0771447,-0.0853062,0.0957184,0.442333
-0.101123,-0.184007,0.188019,-0.0624618,-0.161691,0.17751,-0.0778016,-0.170895,0.179044,0.0729,-0.078,-0.078,-0.0743343,-0.0929853,0.0995896,0.442667
-0.101242,-0.184348,0.188269,-0.0625097,-0.161979,0.177606,-0.0778495,-0.171183,0.17914,0.0738,-0.0849,-0.0738,-0.0786202,-0.0955849,0.10462,0.443
-0.101359,-0.184692,0.188516,-0.0626056,-0.162458,0.177846,-0.0779454,-0.171662,0.17938,0.096,-0.09,-0.075,-0.0763217,-0.0831519,0.103365,0.443333
-0.101475,-0.185036,0.188761,-0.0611675,-0.162842,0.178038,-0.0780413,-0.172046,0.179572,0.0939,-0.09,-0.0798,-0.0574882,-0.0898706,0.099131,0.443667
-0.10159,-0.185383,0.189004,-0.0613113,-0.163225,0.178277,-0.0781851,-0.172429,0.179811,0.1038,-0.0888,-0.084,-0.056385,-0.203887,-0.0424194,0.444
-0.101702,-0.185731,0.189245,-0.0614072,-0.163609,0.178565,-0.078281,-0.172813,0.180099,0.099,-0.0888,-0.075,-0.0604756,-0.0847424,0.0231767,0.444333
-0.101814,-0.18608,0.189484,-0.061503,-0.163896,0.178805,-0.0783768,-0.1731,0.180339,0.0978,-0.0879,-0.0618,-0.060657,-0.0944592,0.0248711,0.444667
-0.101923,-0.186432,0.189721,-0.061551,-0.164232,0.179092,-0.0784248,-0.173436,0.180626,0.009,-0.1908,-0.0588,-0.0644533,-0.0892778,0.0284438,0.445
-0.102031,-0.186784,0.189955,-0.0616469,-0.164567,0.17938,-0.0785206,-0.173771,0.180914,0.0039,-0.1128,-0.06,-0.0634165,-0.0871645,0.0447476,0.445333
-0.102138,-0.187139,0.190188,-0.0616948,-0.164903,0.179667,-0.0785686,-0.174107,0.181201,0.0198,-0.0729,-0.0609,-0.0672271,-0.0798806,0.0652741,0.445667
-0.102243,-0.187494,0.190419,-0.0617427,-0.165238,0.179907,-0.0786165,-0.174442,0.181441,0.0309,-0.096,-0.066,-0.0685751,-0.0798378,0.0831748,0.446
-0.102347,-0.187852,0.190647,-0.0617907,-0.165622,0.180147,-0.0786645,-0.174826,0.181681,0.039,-0.0828,-0.063,-0.0699278,-0.0757345,0.096938,0.446333
-0.102449,-0.188211,0.190874,-0.0618386,-0.165958,0.180291,-0.0787124,-0.175161,0.181825,0.0579,-0.0798,-0.0639,-0.0698484,-0.0842829,0.106978,0.446667
-0.102549,-0.188571,0.191098,-0.0618865,-0.166341,0.180434,-0.0787603,-0.175545,0.181968,0.081,-0.0798,-0.0678,-0.0705637,-0.08226,0.110405,0.447
-0.102649,-0.188933,0.191321,-0.0618865,-0.166868,0.180674,-0.0787603,-0.176072,0.182208,0.0909,-0.0708,-0.0678,-0.0755128,-0.0723395,0.108205,0.447333
-0.102747,-0.189297,0.191541,-0.0619345,-0.1673,0.180818,-0.0788083,-0.176504,0.182352,0.1029,-0.0849,-0.0708,-0.0714808,-0.0819679,0.101627,0.447667
-0.102843,-0.189662,0.191759,-0.0619345,-0.167635,0.180914,-0.0788083,-0.176839,0.182448,0.108,-0.084,-0.0738,-0.074798,-0.0925589,0.0969457,0.448
-0.102938,-0.190028,0.191976,-0.0619824,-0.167923,0.181106,-0.0788562,-0.177127,0.18264,0.1068,-0.078,-0.0768,-0.0723249,-0.0987786,0.0905105,0.448333
